player_tm_id,club_name,club_tm_id,player_name,position,market_value,shirt_number,profile_url,dob,age,height_cm,second_nationality,detailed_position,strong_foot,current_club,nationality,player_name_normalised
262749,Arsenal,11,David Raya,Goalkeeper,€35.00m,1,https://www.transfermarkt.com/david-raya/profil/spieler/262749,1995-09-15,21.0,183.0,,Goalkeeper,right,Arsenal FC,Spain,david raya
192279,Arsenal,11,Kepa Arrizabalaga,Goalkeeper,€7.00m,13,https://www.transfermarkt.com/kepa-arrizabalaga/profil/spieler/192279,1994-10-03,,188.0,,Goalkeeper,right,Arsenal FC,Spain,kepa arrizabalaga
848753,Arsenal,11,Tommy Setford,Goalkeeper,-,35,https://www.transfermarkt.com/tommy-setford/profil/spieler/848753,2006-03-13,,185.0,,Goalkeeper,right,Arsenal FC U21,"England
  Netherlands",tommy setford
495666,Arsenal,11,William Saliba,Centre-Back,€90.00m,2,https://www.transfermarkt.com/william-saliba/profil/spieler/495666,2001-03-24,,192.0,,Defender - Centre-Back,right,Arsenal FC,"France
  Cameroon",william saliba
435338,Arsenal,11,Gabriel,Centre-Back,€75.00m,6,https://www.transfermarkt.com/gabriel/profil/spieler/435338,1997-12-19,,190.0,,Defender - Centre-Back,left,Arsenal FC,Brazil,gabriel
659813,Arsenal,11,Piero Hincapié,Centre-Back,€50.00m,5,https://www.transfermarkt.com/piero-hincapie/profil/spieler/659813,2002-01-09,,184.0,,Defender - Centre-Back,left,Arsenal FC,Ecuador,piero hincapie
646750,Arsenal,11,Cristhian Mosquera,Centre-Back,€35.00m,3,https://www.transfermarkt.com/cristhian-mosquera/profil/spieler/646750,2004-06-27,,191.0,,Defender - Centre-Back,right,Arsenal FC,"Spain
  Colombia",cristhian mosquera
502821,Arsenal,11,Riccardo Calafiori,Left-Back,€50.00m,33,https://www.transfermarkt.com/riccardo-calafiori/profil/spieler/502821,2002-05-19,,188.0,,Defender - Left-Back,left,Arsenal FC,Italy,riccardo calafiori
890721,Arsenal,11,Myles Lewis-Skelly,Left-Back,€35.00m,49,https://www.transfermarkt.com/myles-lewis-skelly/profil/spieler/890721,2006-09-26,,178.0,,Defender - Left-Back,left,Arsenal FC,"England
  Barbados",myles lewis-skelly
420243,Arsenal,11,Jurriën Timber,Right-Back,€70.00m,12,https://www.transfermarkt.com/jurrien-timber/profil/spieler/420243,2001-06-17,,179.0,,Defender - Right-Back,right,Arsenal FC,"Netherlands
  Curacao",jurrien timber
335721,Arsenal,11,Ben White,Right-Back,€30.00m,4,https://www.transfermarkt.com/ben-white/profil/spieler/335721,1997-10-08,,186.0,,Defender - Right-Back,right,Arsenal FC,England,ben white
423440,Arsenal,11,Martín Zubimendi,Defensive Midfield,€80.00m,36,https://www.transfermarkt.com/martin-zubimendi/profil/spieler/423440,1999-02-02,,181.0,,Midfield - Defensive Midfield,right,Arsenal FC,Spain,martin zubimendi
148367,Arsenal,11,Christian Nørgaard,Defensive Midfield,€7.00m,16,https://www.transfermarkt.com/christian-norgaard/profil/spieler/148367,1994-03-10,,187.0,,Midfield - Defensive Midfield,right,Arsenal FC,Denmark,christian norgaard
357662,Arsenal,11,Declan Rice,Central Midfield,€120.00m,41,https://www.transfermarkt.com/declan-rice/profil/spieler/357662,1999-01-14,,188.0,,Midfield - Central Midfield,right,Arsenal FC,"England
  Ireland",declan rice
338424,Arsenal,11,Mikel Merino,Central Midfield,€30.00m,23,https://www.transfermarkt.com/mikel-merino/profil/spieler/338424,1996-06-22,,189.0,,Midfield - Central Midfield,left,Arsenal FC,Spain,mikel merino
316264,Arsenal,11,Martin Ødegaard,Attacking Midfield,€65.00m,8,https://www.transfermarkt.com/martin-odegaard/profil/spieler/316264,1998-12-17,,178.0,,Midfield - Attacking Midfield,left,Arsenal FC,Norway,martin odegaard
479999,Arsenal,11,Eberechi Eze,Attacking Midfield,€60.00m,10,https://www.transfermarkt.com/eberechi-eze/profil/spieler/479999,1998-06-29,,178.0,,Midfield - Attacking Midfield,right,Arsenal FC,"England
  Nigeria",eberechi eze
655488,Arsenal,11,Gabriel Martinelli,Left Winger,€45.00m,11,https://www.transfermarkt.com/gabriel-martinelli/profil/spieler/655488,2001-06-18,,178.0,,Attack - Left Winger,right,Arsenal FC,"Brazil
  Italy",gabriel martinelli
144028,Arsenal,11,Leandro Trossard,Left Winger,€20.00m,19,https://www.transfermarkt.com/leandro-trossard/profil/spieler/144028,1994-12-04,,172.0,,Attack - Left Winger,right,Arsenal FC,Belgium,leandro trossard
433177,Arsenal,11,Bukayo Saka,Right Winger,€120.00m,7,https://www.transfermarkt.com/bukayo-saka/profil/spieler/433177,2001-09-05,,178.0,,Attack - Right Winger,left,Arsenal FC,"England
  Nigeria",bukayo saka
503987,Arsenal,11,Noni Madueke,Right Winger,€50.00m,20,https://www.transfermarkt.com/noni-madueke/profil/spieler/503987,2002-03-10,,182.0,,Attack - Right Winger,left,Arsenal FC,"England
  Nigeria",noni madueke
1187629,Arsenal,11,Max Dowman,Right Winger,€20.00m,56,https://www.transfermarkt.com/max-dowman/profil/spieler/1187629,2009-12-31,,183.0,,Attack - Right Winger,left,Arsenal FC UEFA U19,England,max dowman
325443,Arsenal,11,Viktor Gyökeres,Centre-Forward,€65.00m,14,https://www.transfermarkt.com/viktor-gyokeres/profil/spieler/325443,1998-06-04,,189.0,,Attack - Centre-Forward,right,Arsenal FC,"Sweden
  Hungary",viktor gyokeres
309400,Arsenal,11,Kai Havertz,Centre-Forward,€50.00m,29,https://www.transfermarkt.com/kai-havertz/profil/spieler/309400,1999-06-11,,193.0,,Attack - Centre-Forward,left,Arsenal FC,Germany,kai havertz
363205,Arsenal,11,Gabriel Jesus,Centre-Forward,€20.00m,9,https://www.transfermarkt.com/gabriel-jesus/profil/spieler/363205,1997-04-03,,175.0,,Attack - Centre-Forward,right,Arsenal FC,Brazil,gabriel jesus
111873,Aston Villa,405,Emiliano Martínez,Goalkeeper,€15.00m,23,https://www.transfermarkt.com/emiliano-martinez/profil/spieler/111873,1992-09-02,,195.0,,Goalkeeper,right,Aston Villa,"Argentina
  Spain",emiliano martinez
124884,Aston Villa,405,Marco Bizot,Goalkeeper,€2.50m,40,https://www.transfermarkt.com/marco-bizot/profil/spieler/124884,1991-03-10,,193.0,,Goalkeeper,right,Aston Villa,Netherlands,marco bizot
413403,Aston Villa,405,Ezri Konsa,Centre-Back,€40.00m,4,https://www.transfermarkt.com/ezri-konsa/profil/spieler/413403,1997-10-23,,183.0,,Defender - Centre-Back,right,Aston Villa,"England
  DR Congo",ezri konsa
399776,Aston Villa,405,Pau Torres,Centre-Back,€22.00m,14,https://www.transfermarkt.com/pau-torres/profil/spieler/399776,1997-01-16,,192.0,,Defender - Centre-Back,left,Aston Villa,Spain,pau torres
184573,Aston Villa,405,Victor Lindelöf,Centre-Back,€6.00m,3,https://www.transfermarkt.com/victor-lindelof/profil/spieler/184573,1994-07-17,,187.0,,Defender - Centre-Back,right,Aston Villa,Sweden,victor lindelof
253677,Aston Villa,405,Tyrone Mings,Centre-Back,€4.00m,5,https://www.transfermarkt.com/tyrone-mings/profil/spieler/253677,1993-03-13,,196.0,,Defender - Centre-Back,left,Aston Villa,England,tyrone mings
485585,Aston Villa,405,Ian Maatsen,Left-Back,€30.00m,22,https://www.transfermarkt.com/ian-maatsen/profil/spieler/485585,2002-03-10,,178.0,,Defender - Left-Back,left,Aston Villa,"Netherlands
  Suriname",ian maatsen
126664,Aston Villa,405,Lucas Digne,Left-Back,€8.00m,12,https://www.transfermarkt.com/lucas-digne/profil/spieler/126664,1993-07-20,,178.0,,Defender - Left-Back,left,Aston Villa,France,lucas digne
425334,Aston Villa,405,Matty Cash,Right-Back,€22.00m,2,https://www.transfermarkt.com/matty-cash/profil/spieler/425334,1997-08-07,,185.0,,Defender - Right-Back,right,Aston Villa,"Poland
  England",matty cash
1063329,Aston Villa,405,Andrés García,Right-Back,€7.00m,16,https://www.transfermarkt.com/andres-garcia/profil/spieler/1063329,2003-02-07,,185.0,,Defender - Right-Back,right,Aston Villa,Spain,andres garcia
485706,Aston Villa,405,Amadou Onana,Defensive Midfield,€45.00m,24,https://www.transfermarkt.com/amadou-onana/profil/spieler/485706,2001-08-16,,195.0,,Midfield - Defensive Midfield,right,Aston Villa,"Belgium
  Senegal",amadou onana
394327,Aston Villa,405,Boubacar Kamara,Defensive Midfield,€40.00m,44,https://www.transfermarkt.com/boubacar-kamara/profil/spieler/394327,1999-11-23,,184.0,,Midfield - Defensive Midfield,right,Aston Villa,"France
  Senegal",boubacar kamara
645686,Aston Villa,405,Lamare Bogarde,Defensive Midfield,€15.00m,26,https://www.transfermarkt.com/lamare-bogarde/profil/spieler/645686,2004-01-05,,185.0,,Midfield - Defensive Midfield,right,Aston Villa,"Netherlands
  Suriname",lamare bogarde
249565,Aston Villa,405,Youri Tielemans,Central Midfield,€35.00m,8,https://www.transfermarkt.com/youri-tielemans/profil/spieler/249565,1997-05-07,,177.0,,Midfield - Central Midfield,right,Aston Villa,"Belgium
  DR Congo",youri tielemans
